user_id,edad,sexo,estado,ciudad,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico
USR-00033,25,M,Tamaulipas,Reynosa,Preparatoria,Empresario,15500,1310,False,False,App,422,13,app_ios,5.0,False,False,es_MX,False,2,False
USR-00034,43,H,Otros,Cuernavaca,Preparatoria,Empleado,34000,1019,True,False,App,755,5,app_android,7.0,False,True,es_MX,True,2,False
USR-00035,32,M,Otros,Durango,Preparatoria,Empleado,15000,165,True,False,App,752,1,app_huawei,10.0,False,True,es_MX,False,3,False
USR-00036,31,M,Veracruz,Coatzacoalcos,Preparatoria,Empleado,13500,820,False,True,App,690,8,app_ios,,False,False,es_MX,False,4,False
USR-00037,28,H,Coahuila,Saltillo,Posgrado,Empleado,15000,1370,False,False,App,760,1,app_android,10.0,False,False,es_MX,False,1,False
USR-00038,47,H,,,Licenciatura,Empleado,34500,1229,True,True,App,755,4,app_ios,9.0,False,False,es_MX,False,3,False
USR-00039,55,M,Sinaloa,Los Mochis,Licenciatura,Independiente,27500,313,False,False,App,626,90,app_huawei,6.0,False,False,es_MX,False,0,False
USR-00040,59,M,Nuevo León,García,Preparatoria,Empleado,33000,876,False,False,App,703,6,app_ios,10.0,False,False,es_MX,False,2,False
USR-00041,50,M,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Empleado,19000,843,True,True,App,615,11,app_android,8.0,False,False,es_MX,False,2,False
USR-00042,34,M,Veracruz,Córdoba,Preparatoria,Empleado,18000,1625,False,True,App,412,15,app_ios,3.0,False,False,es_MX,False,2,False
USR-00043,33,H,Baja California,Ensenada,Licenciatura,Empresario,89000,1221,True,False,App,696,11,app_android,10.0,False,False,es_MX,True,3,False
USR-00044,25,H,Nuevo León,García,Secundaria,Independiente,28000,1589,True,False,App,692,3,app_android,7.0,False,True,es_MX,True,2,False
USR-00045,52,M,Estado de México,Ecatepec,Licenciatura,Empleado,12500,482,False,True,App,715,138,app_huawei,4.0,False,False,es_MX,False,1,False
USR-00046,32,H,Baja California,Ensenada,Preparatoria,Empleado,19500,1669,True,False,App,642,0,app_ios,9.0,False,False,en_US,False,3,False
USR-00047,39,H,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Empleado,19500,1142,False,True,App,675,14,app_ios,10.0,False,False,en_US,False,4,False
USR-00048,45,H,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Independiente,55000,1049,False,False,Fan Shop,694,5,app_huawei,7.0,False,False,es_MX,True,4,False
USR-00049,24,M,Ciudad de México,CDMX - Tlalpan,Posgrado,Empleado,12000,1444,True,False,App,452,3,app_android,9.0,False,False,es_MX,False,1,False
USR-00050,53,M,Ciudad de México,CDMX - Coyoacán,Posgrado,Independiente,83000,1447,True,False,Fan Shop,762,9,app_android,7.0,False,True,es_MX,False,4,False
USR-00051,40,M,Ciudad de México,CDMX - Tlalpan,Licenciatura,Empresario,20000,1007,True,False,App,617,10,app_android,,True,False,es_MX,True,2,False
USR-00052,56,M,Ciudad de México,CDMX - Coyoacán,Licenciatura,Estudiante,34000,1008,False,False,App,629,157,app_ios,,True,False,es_MX,False,1,False
USR-00053,57,H,Sinaloa,Culiacán,Preparatoria,Empleado,9500,1109,True,False,App,576,166,app_huawei,7.0,False,False,es_MX,False,0,True
USR-00054,37,H,Jalisco,Puerto Vallarta,Licenciatura,Empleado,23000,1154,False,True,App,665,4,app_huawei,6.0,False,False,es_MX,False,3,False
USR-00055,37,M,Chihuahua,Chihuahua,Licenciatura,Empleado,49500,258,True,False,App,850,2,app_ios,,False,True,es_MX,True,4,False
USR-00056,30,M,Jalisco,San Pedro Tlaquepaque,Licenciatura,Independiente,17500,457,True,False,Fan Shop,693,3,app_android,9.0,False,False,es_MX,True,2,False
USR-00057,56,H,,,Licenciatura,Empleado,29000,1012,False,False,Fan Shop,599,5,app_huawei,9.0,False,False,es_MX,False,4,True
USR-00058,40,M,Ciudad de México,CDMX - Miguel Hidalgo,Posgrado,Empleado,20500,1475,False,False,App,450,4,app_android,7.0,False,False,es_MX,False,2,False
USR-00059,22,H,Tamaulipas,Ciudad Victoria,Licenciatura,Independiente,32500,180,False,False,App,507,80,app_ios,5.0,False,False,es_MX,False,0,False
USR-00060,41,H,Tamaulipas,Tampico,Preparatoria,Empresario,66000,1759,True,False,App,530,10,app_android,7.0,False,False,es_MX,False,3,False
USR-00061,30,M,Estado de México,Toluca,Licenciatura,Independiente,49000,384,False,False,App,761,13,app_ios,9.0,False,False,es_MX,False,1,True
USR-00062,25,H,Baja California,Tijuana,Preparatoria,Empleado,10000,205,False,False,Fan Shop,520,10,app_huawei,4.0,False,False,es_MX,True,3,False
USR-00063,35,H,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Independiente,57500,277,True,False,App,686,1,app_ios,7.0,False,True,es_MX,False,4,False
USR-00064,29,M,Jalisco,Tlaquepaque,Licenciatura,Empleado,14000,1466,False,False,App,345,10,app_ios,7.0,False,False,es_MX,False,1,True
USR-00065,18,M,Jalisco,Tlaquepaque,Preparatoria,Estudiante,9000,584,True,False,App,639,0,app_ios,9.0,False,False,es_MX,False,2,False
USR-00066,34,H,,,Secundaria,Empleado,17000,429,False,True,App,744,16,app_android,,False,False,es_MX,False,3,False
USR-00067,40,M,Otros,Campeche,Preparatoria,Empleado,12500,956,False,True,Fan Shop,444,18,app_ios,6.0,False,False,es_MX,False,1,False
USR-00068,54,H,Nuevo León,San Nicolás de los Garza,Licenciatura,Empleado,37000,942,False,True,App,582,16,app_ios,7.0,False,False,es_MX,True,3,False
USR-00069,49,H,Otros,Durango,Posgrado,Empresario,45000,1120,False,False,App,640,14,app_ios,7.0,False,False,es_MX,False,3,False
USR-00070,48,M,Sonora,Ciudad Obregón,Preparatoria,Empleado,19000,1495,True,False,App,550,2,app_ios,6.0,False,False,es_MX,False,2,False
USR-00071,19,H,Chihuahua,Ciudad Juárez,Preparatoria,Estudiante,16500,672,False,False,Fan Shop,597,3,app_ios,8.0,False,True,es_MX,False,1,False
USR-00072,43,H,Jalisco,Tlaquepaque,Licenciatura,Empleado,19500,1018,True,True,Fan Shop,579,15,app_ios,9.0,False,False,es_MX,False,2,False
USR-00073,53,H,Ciudad de México,CDMX - Benito Juárez,Posgrado,Empleado,46000,1230,True,False,App,584,9,app_android,10.0,False,False,es_MX,True,4,False
USR-00074,34,M,Guanajuato,Celaya,Preparatoria,Estudiante,5500,1806,False,False,Fan Shop,670,163,app_huawei,6.0,False,False,es_MX,False,1,False
USR-00075,38,H,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Empresario,42000,1415,False,False,App,676,12,app_android,6.0,False,False,es_MX,False,3,False
USR-00076,20,M,Guanajuato,Celaya,Preparatoria,Empleado,14500,422,True,False,App,555,2,app_android,8.0,False,True,es_MX,False,3,False
USR-00077,55,M,Jalisco,Tonalá,Preparatoria,Empleado,11000,1426,True,True,App,713,6,app_android,10.0,False,False,es_MX,False,3,False
USR-00078,30,M,Nuevo León,Guadalupe,Licenciatura,Empresario,95000,907,True,False,Fan Shop,802,9,app_android,,False,False,es_MX,False,3,False
USR-00079,39,M,Guanajuato,Salamanca,Licenciatura,Desempleado,14000,1594,False,False,Fan Shop,464,38,app_huawei,4.0,False,False,es_MX,False,1,False
USR-00080,45,H,Nuevo León,Monterrey,Preparatoria,Empleado,13500,1112,False,False,App,470,12,app_android,7.0,True,False,es_MX,False,1,False
USR-00081,33,M,Jalisco,San Pedro Tlaquepaque,Secundaria,Independiente,32500,1038,False,False,App,653,2,app_ios,8.0,False,False,es_MX,False,1,False
USR-00082,48,M,Nuevo León,Monterrey,Secundaria,Empleado,28500,1025,True,True,App,504,16,app_ios,8.0,False,True,es_MX,False,2,False
USR-00083,27,H,Nuevo León,Monterrey,Preparatoria,Empleado,24000,1442,True,False,App,300,18,app_ios,3.0,True,True,es_MX,False,2,False
USR-00084,46,M,Guanajuato,Irapuato,Licenciatura,Empleado,67000,946,True,True,App,648,19,app_android,9.0,False,False,es_MX,True,2,False
USR-00085,26,H,Jalisco,San Pedro Tlaquepaque,Licenciatura,Empleado,13000,538,True,True,Fan Shop,316,16,app_android,5.0,False,False,es_MX,False,2,False
USR-00086,35,H,Otros,Cuernavaca,Licenciatura,Independiente,37000,1718,False,False,App,821,19,app_android,8.0,False,False,es_MX,True,3,False
USR-00087,23,H,Ciudad de México,CDMX - Cuauhtémoc,Posgrado,Estudiante,27500,811,True,False,App,711,0,app_android,9.0,False,False,es_MX,False,1,False
USR-00088,24,H,Coahuila,Piedras Negras,Preparatoria,Estudiante,6000,1077,False,False,App,611,105,app_android,6.0,False,False,es_MX,False,1,False
USR-00089,47,M,Ciudad de México,CDMX - Miguel Hidalgo,Preparatoria,Empleado,12500,160,False,True,App,746,5,app_android,10.0,False,False,es_MX,True,1,False
USR-00090,33,M,Jalisco,San Pedro Tlaquepaque,Licenciatura,Independiente,99000,1690,False,False,App,650,14,app_android,,False,True,es_MX,True,4,True
USR-00091,60,H,Nuevo León,Guadalupe,Licenciatura,Empleado,70000,858,True,False,App,785,15,app_android,9.0,True,False,es_MX,True,2,False
USR-00092,43,H,Sonora,Hermosillo,Licenciatura,Empleado,21000,1231,False,False,App,558,23,app_ios,3.0,False,True,es_MX,False,1,False
USR-00093,24,H,Jalisco,Puerto Vallarta,Licenciatura,Independiente,16500,1298,True,False,App,314,2,app_android,6.0,False,False,es_MX,False,2,False
USR-00094,22,M,Jalisco,Zapopan,Licenciatura,Estudiante,20500,692,True,False,App,753,1,app_android,,False,True,es_MX,False,3,False
USR-00095,37,M,Veracruz,Coatzacoalcos,Secundaria,Empleado,31500,333,True,True,App,634,12,app_android,8.0,False,False,es_MX,False,2,False
USR-00096,27,M,Otros,Morelia,Posgrado,Empleado,23000,1143,False,True,Fan Shop,605,135,app_ios,5.0,False,False,es_MX,False,1,False
USR-00097,41,H,Otros,La Paz,Posgrado,Empresario,69000,1539,True,False,Fan Shop,607,10,app_huawei,,False,True,es_MX,False,2,False
USR-00098,31,M,Otros,Morelia,Licenciatura,Empleado,12000,488,False,False,App,694,2,app_android,8.0,False,True,es_MX,False,3,False
USR-00099,30,M,Nuevo León,Guadalupe,Preparatoria,Independiente,15000,611,False,False,App,421,24,app_huawei,5.0,False,True,es_MX,False,1,False
USR-00100,35,H,Oaxaca,Juchitán,Licenciatura,Empleado,34000,682,True,True,App,577,3,app_ios,10.0,False,False,es_MX,False,1,False
USR-00101,38,M,Veracruz,Veracruz,Licenciatura,Empleado,13500,270,False,True,App,719,4,app_ios,10.0,False,False,es_MX,False,2,False
USR-00102,32,M,Querétaro,Querétaro,Licenciatura,Independiente,13000,894,True,False,App,621,3,app_ios,7.0,False,True,es_MX,False,2,False
USR-00103,30,M,Nuevo León,Santa Catarina,Licenciatura,Empleado,8500,1248,True,False,App,438,7,app_ios,,True,False,es_MX,False,1,False
USR-00104,37,M,Nuevo León,Santa Catarina,Preparatoria,Empresario,18000,1111,True,False,App,830,3,app_ios,,True,False,es_MX,False,3,False
USR-00105,24,H,Tamaulipas,Ciudad Victoria,Preparatoria,Empleado,13000,865,True,False,App,679,3,app_android,8.0,True,True,es_MX,True,1,False
USR-00106,38,M,Jalisco,San Pedro Tlaquepaque,Secundaria,Empleado,37000,131,True,True,App,657,1,app_android,,True,False,es_MX,False,4,False
USR-00107,18,H,Guanajuato,San Miguel de Allende,Preparatoria,Empleado,15000,1658,True,False,Fan Shop,657,1,app_android,9.0,False,True,es_MX,False,2,False
USR-00108,51,H,Chihuahua,Delicias,Preparatoria,Empleado,25500,785,False,True,App,492,7,app_ios,9.0,False,True,es_MX,False,2,False
USR-00109,23,H,Nuevo León,Apodaca,Licenciatura,Independiente,15000,194,False,False,App,435,51,app_huawei,6.0,False,False,es_MX,False,1,False
USR-00110,37,H,Yucatán,Mérida,Posgrado,Empleado,15500,1009,False,False,App,349,21,app_huawei,3.0,True,False,es_MX,True,1,False
USR-00111,46,SE,Nuevo León,San Nicolás de los Garza,Licenciatura,Empresario,57000,40,True,False,Fan Shop,528,6,app_android,10.0,False,False,es_MX,True,3,False
USR-00112,33,M,Estado de México,Nezahualcóyotl,Licenciatura,Independiente,31000,1001,False,False,Fan Shop,718,0,app_ios,10.0,False,False,es_MX,True,3,False
USR-00113,30,H,Nuevo León,García,Licenciatura,Estudiante,32000,1312,False,False,App,692,106,app_huawei,5.0,False,False,es_MX,False,1,False
USR-00114,33,H,Nuevo León,Guadalupe,Licenciatura,Empleado,67000,633,True,False,App,595,18,app_huawei,10.0,False,False,es_MX,True,4,False
USR-00115,25,M,Nuevo León,San Pedro Garza García,Preparatoria,Empleado,14000,1305,True,True,Fan Shop,749,3,app_ios,10.0,False,False,es_MX,False,3,False
USR-00116,35,M,Guanajuato,León,Posgrado,Independiente,44000,617,True,False,App,808,4,app_ios,10.0,False,True,es_MX,True,2,False
USR-00117,30,H,Nuevo León,Monterrey,Posgrado,Empleado,26000,440,True,False,App,715,2,app_android,10.0,True,True,es_MX,True,2,False
USR-00118,30,M,Coahuila,Torreón,Preparatoria,Empleado,8500,1799,True,True,Fan Shop,720,1,app_android,7.0,False,False,es_MX,False,1,False
USR-00119,37,H,Nuevo León,García,Licenciatura,Independiente,18000,1533,True,False,Fan Shop,488,8,app_android,5.0,False,False,es_MX,False,0,True
USR-00120,54,H,Nuevo León,San Nicolás de los Garza,Licenciatura,Empresario,56000,1148,True,False,Fan Shop,557,9,app_ios,8.0,False,False,es_MX,True,2,False
USR-00121,52,H,Jalisco,Zapopan,Preparatoria,Empleado,39500,1508,False,True,App,738,4,app_ios,7.0,True,False,es_MX,True,3,False
USR-00122,28,M,Coahuila,Piedras Negras,Licenciatura,Independiente,29000,318,True,False,Fan Shop,740,1,app_android,9.0,False,False,es_MX,False,2,False
USR-00123,22,M,Coahuila,Saltillo,Secundaria,Empleado,13500,1551,True,False,App,530,1,app_android,8.0,False,False,es_MX,False,2,False
USR-00124,55,H,Nuevo León,Monterrey,Licenciatura,Desempleado,12000,1456,False,False,App,553,81,app_android,5.0,False,False,es_MX,False,1,False
USR-00125,32,H,Jalisco,Puerto Vallarta,Posgrado,Independiente,7500,628,True,False,App,543,1,app_android,10.0,False,True,es_MX,False,2,False
USR-00126,26,M,Nuevo León,Apodaca,Licenciatura,Empleado,16500,908,False,True,Fan Shop,651,11,app_ios,7.0,False,False,es_MX,False,1,False
USR-00127,41,H,Yucatán,Progreso,Preparatoria,Empleado,20500,1142,False,True,Fan Shop,553,6,app_android,6.0,False,False,es_MX,False,2,False
USR-00128,30,M,Coahuila,Piedras Negras,Licenciatura,Independiente,11000,621,False,False,App,537,2,app_android,8.0,True,True,es_MX,False,1,False
USR-00129,54,SE,Otros,Campeche,Licenciatura,Empleado,52000,384,False,False,App,652,7,app_ios,7.0,False,False,es_MX,True,4,False
USR-00130,28,SE,Nuevo León,García,Preparatoria,Empleado,49000,147,True,True,App,733,3,app_ios,9.0,False,False,es_MX,False,4,False
USR-00131,41,M,Nuevo León,Guadalupe,Licenciatura,Independiente,40000,1028,True,False,Fan Shop,725,0,app_android,10.0,False,False,es_MX,False,1,False
USR-00132,47,H,Jalisco,Tonalá,Secundaria,Empleado,26500,803,True,True,Fan Shop,721,9,app_ios,9.0,False,False,es_MX,True,2,False
USR-00133,40,H,Ciudad de México,CDMX - Benito Juárez,Secundaria,Empleado,12000,1742,False,True,Fan Shop,440,19,app_ios,5.0,False,False,es_MX,False,3,False
USR-00134,43,H,Jalisco,Tlaquepaque,Posgrado,Empleado,58000,1585,False,False,App,820,16,app_android,7.0,False,False,es_MX,True,4,False
USR-00135,30,SE,Estado de México,Tlalnepantla,Preparatoria,Independiente,20000,31,False,False,App,658,1,app_android,8.0,False,False,es_MX,False,2,False
USR-00136,40,M,Jalisco,Puerto Vallarta,Secundaria,Independiente,10000,92,False,False,App,685,52,app_android,5.0,False,False,en_US,True,0,False
USR-00137,34,H,Otros,Morelia,Licenciatura,Independiente,19000,312,False,False,App,421,76,app_ios,4.0,False,False,es_MX,True,1,True
USR-00138,34,M,Estado de México,Nezahualcóyotl,Licenciatura,Independiente,39000,1286,True,False,App,667,0,app_android,7.0,False,False,es_MX,False,3,False
USR-00139,51,H,Nuevo León,San Nicolás de los Garza,Preparatoria,Empleado,35000,318,False,True,Fan Shop,848,14,app_android,10.0,False,False,es_MX,True,3,False
USR-00140,44,H,Nuevo León,San Pedro Garza García,Licenciatura,Empleado,26000,548,True,True,Fan Shop,739,6,app_ios,7.0,False,False,es_MX,False,4,True
USR-00141,34,H,Estado de México,Nezahualcóyotl,Licenciatura,Independiente,24000,1593,False,False,App,547,20,app_android,4.0,False,False,es_MX,False,1,False
USR-00142,39,M,Sonora,San Luis Río Colorado,Licenciatura,Independiente,11000,1331,False,False,App,645,122,app_ios,7.0,False,False,es_MX,False,1,False
USR-00143,48,H,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Empleado,32000,1461,False,False,App,378,147,app_android,7.0,False,False,es_MX,False,1,False
USR-00144,32,H,Otros,Villahermosa,Posgrado,Empleado,22000,1580,False,True,Fan Shop,788,6,app_android,7.0,True,True,en_US,True,2,False
USR-00145,56,M,Coahuila,Monclova,Preparatoria,Empleado,54000,1182,False,False,App,751,4,app_android,9.0,False,True,es_MX,True,3,False
USR-00146,58,H,Sinaloa,Los Mochis,Posgrado,Independiente,76000,659,False,False,App,707,9,app_android,10.0,False,False,es_MX,True,3,False
USR-00147,43,H,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Empleado,23000,482,False,True,App,591,15,app_ios,6.0,True,False,es_MX,False,1,False
USR-00148,25,H,Estado de México,Ecatepec,Preparatoria,Independiente,21000,161,False,False,App,307,7,app_android,4.0,False,False,es_MX,False,2,False
USR-00149,35,M,Veracruz,Córdoba,Licenciatura,Empleado,47000,1691,True,False,App,754,1,app_ios,,False,True,es_MX,False,2,False
USR-00150,34,H,Sonora,Ciudad Obregón,Licenciatura,Empresario,65000,1092,False,False,App,741,1,app_ios,8.0,False,False,es_MX,True,2,False
USR-00151,45,M,Nuevo León,San Nicolás de los Garza,Licenciatura,Empleado,21500,217,False,True,Fan Shop,532,10,app_ios,8.0,True,False,es_MX,False,2,False
USR-00152,32,M,Estado de México,Ecatepec,Licenciatura,Empresario,63000,737,True,False,App,661,2,app_ios,10.0,False,False,es_MX,False,3,False
USR-00153,22,H,Jalisco,Tonalá,Licenciatura,Estudiante,31500,363,False,False,Fan Shop,479,84,app_huawei,,False,False,es_MX,False,1,False
USR-00154,37,M,Otros,La Paz,Preparatoria,Empleado,10500,1133,False,True,App,409,15,app_android,4.0,False,False,es_MX,False,1,False
USR-00155,46,M,Jalisco,San Pedro Tlaquepaque,Licenciatura,Empleado,34000,706,False,True,App,769,17,app_android,8.0,False,False,es_MX,True,2,False
USR-00156,21,M,Nuevo León,Santa Catarina,Preparatoria,Estudiante,29500,629,False,False,App,517,3,app_ios,7.0,False,False,es_MX,False,1,False
USR-00157,56,H,Nuevo León,San Pedro Garza García,Posgrado,Empleado,58000,554,False,True,Fan Shop,639,17,app_ios,10.0,False,True,es_MX,False,4,True
USR-00158,30,M,Tamaulipas,Tampico,Secundaria,Empleado,12500,1295,True,False,App,710,2,app_android,10.0,False,True,es_MX,False,1,True
USR-00159,37,H,Oaxaca,Salina Cruz,Licenciatura,Empleado,77000,347,True,False,App,813,12,app_android,10.0,False,False,es_MX,False,1,False
USR-00160,21,H,Ciudad de México,CDMX - Coyoacán,Preparatoria,Estudiante,28500,1050,False,False,App,659,2,app_ios,8.0,False,False,es_MX,False,2,False
USR-00161,55,H,Veracruz,Xalapa,Licenciatura,Desempleado,5000,1360,False,False,App,685,130,app_android,4.0,False,True,es_MX,False,0,False
USR-00162,46,H,Ciudad de México,CDMX - Coyoacán,Posgrado,Empleado,39000,60,False,True,App,481,1,app_android,9.0,False,False,es_MX,False,2,False
USR-00163,35,M,Querétaro,San Juan del Río,Posgrado,Independiente,32000,235,True,False,App,740,4,app_android,7.0,False,False,es_MX,False,3,False
USR-00164,34,H,Jalisco,Tonalá,Licenciatura,Empresario,82000,500,True,False,App,682,5,app_ios,10.0,False,False,es_MX,False,4,False
USR-00165,39,H,Nuevo León,Santa Catarina,Licenciatura,Independiente,44000,901,True,False,App,695,3,app_android,10.0,False,False,es_MX,False,3,False
USR-00166,39,H,Nuevo León,Apodaca,Posgrado,Empleado,69000,1173,True,False,App,759,16,app_ios,9.0,False,False,es_MX,True,3,False
USR-00167,32,H,Nuevo León,Apodaca,Posgrado,Independiente,19500,223,True,False,App,708,1,app_android,10.0,False,True,es_MX,False,2,False
USR-00168,49,H,Nuevo León,García,Licenciatura,Empleado,23000,1479,False,True,App,764,11,app_android,7.0,False,False,es_MX,False,3,False
USR-00169,48,H,Nuevo León,San Pedro Garza García,Preparatoria,Independiente,27000,914,False,False,App,430,167,app_ios,4.0,False,True,es_MX,True,0,False
USR-00170,60,M,Nuevo León,Monterrey,Licenciatura,Independiente,40000,656,True,False,App,764,5,app_ios,7.0,False,False,es_MX,True,4,False
USR-00171,42,H,Jalisco,Tonalá,Preparatoria,Empleado,17000,1674,False,True,App,752,19,app_ios,9.0,False,True,es_MX,False,2,False
USR-00172,28,H,Veracruz,Veracruz,Posgrado,Empresario,82000,379,True,False,App,772,13,app_ios,10.0,False,False,es_MX,False,2,False
USR-00173,28,H,Ciudad de México,CDMX - Miguel Hidalgo,Licenciatura,Empleado,38500,1257,False,True,App,630,17,app_huawei,8.0,False,False,es_MX,False,4,False
USR-00174,50,M,Otros,Colima,Licenciatura,Empleado,22500,505,False,False,Fan Shop,384,8,app_ios,3.0,False,False,es_MX,True,2,False
USR-00175,44,H,Tamaulipas,Tampico,Licenciatura,Empleado,16000,50,False,False,App,407,10,app_ios,6.0,False,False,es_MX,True,1,False
USR-00176,39,H,Guanajuato,San Miguel de Allende,Licenciatura,Empleado,14000,838,False,True,App,661,75,app_huawei,6.0,False,False,es_MX,False,1,False
USR-00177,51,M,Baja California,Ensenada,Preparatoria,Empleado,10500,333,False,True,App,586,2,app_android,10.0,False,False,es_MX,False,3,False
USR-00178,30,M,Nuevo León,San Pedro Garza García,Posgrado,Empleado,28500,438,True,True,App,526,8,app_android,9.0,False,True,en_US,False,2,False
USR-00179,41,M,Yucatán,Valladolid,Secundaria,Empleado,34000,1497,False,True,App,534,7,app_ios,6.0,False,False,es_MX,False,3,False
