user_id,total_interacciones,necesidad_principal,canal_preferido,ratio_ruido,clusters_frecuentes,primera_interaccion,ultima_interaccion
USR-00017,3,"Si, Puedo, Quiero, Aparece, Cómo",1,0.00%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1}",21/08/2025 00:00,21/08/2025 00:00
USR-00018,3,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",06/08/2025 00:00,06/08/2025 00:00
USR-00019,3,"Crédito, Aparece, Puedo, Credito, Garantizada",1,0.00%,"{""Crédito, Aparece, Puedo, Credito, Garantizada"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",15/08/2025 00:00,15/08/2025 00:00
USR-00020,2,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,0.00%,"{""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",11/11/2025 00:00,15/11/2025 00:00
USR-00021,1,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,0.00%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",30/10/2025 00:00,30/10/2025 00:00
USR-00022,10,"Atención, Número, Clientes, Cliente, Centro",1,30.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 4, ""Ruido"": 3, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 2, ""Préstamo, Personal, Quiero, Puedo, Solicitar"": 1}",27/08/2025 00:00,30/08/2025 00:00
USR-00024,3,"000, Enganche, Si, Mil, 100",1,33.33%,"{""Ruido"": 1, ""000, Enganche, Si, Mil, 100"": 1, ""Crédito, Personal, Credito, Puedo, Quiero"": 1}",09/11/2025 00:00,09/11/2025 00:00
USR-00025,4,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,0.00%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 2, ""Atención, Número, Clientes, Cliente, Centro"": 2}",27/08/2025 00:00,27/08/2025 00:00
USR-00026,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",03/11/2025 00:00,03/11/2025 00:00
USR-00027,3,"Aplicación, Puedo, Cómo, Actualizar, Si",2,66.67%,"{""Ruido"": 2, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1}",,
USR-00028,3,"Si, Puedo, Quiero, Aparece, Cómo",1,66.67%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",21/08/2025 00:00,21/08/2025 00:00
USR-00029,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",06/09/2025 00:00,06/09/2025 00:00
USR-00030,5,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 5}",01/09/2025 00:00,01/09/2025 00:00
USR-00031,5,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,60.00%,"{""Ruido"": 3, ""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 2}",07/08/2025 00:00,03/09/2025 00:00
USR-00032,4,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 4}",23/10/2025 00:00,23/10/2025 00:00
USR-00033,7,"Norte, Pal, Puedo, Extranjero, Beneficios",1,42.86%,"{""Ruido"": 3, ""Norte, Pal, Puedo, Extranjero, Beneficios"": 2, ""Préstamo, Personal, Quiero, Puedo, Solicitar"": 1, ""Crédito, Aparece, Puedo, Credito, Garantizada"": 1}",26/09/2025 00:00,15/10/2025 00:00
USR-00034,3,"Si, Puedo, Quiero, Aparece, Cómo",1,33.33%,"{""Ruido"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1}",30/09/2025 00:00,30/09/2025 00:00
USR-00035,1,"Norte, Pal, Puedo, Extranjero, Beneficios",1,0.00%,"{""Norte, Pal, Puedo, Extranjero, Beneficios"": 1}",04/07/2025 00:00,04/07/2025 00:00
USR-00036,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",06/11/2025 00:00,19/11/2025 00:00
USR-00037,1,"Si, Puedo, Quiero, Aparece, Cómo",1,0.00%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 1}",23/10/2025 00:00,23/10/2025 00:00
USR-00038,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",15/09/2025 00:00,02/10/2025 00:00
USR-00039,2,"Aplicación, Puedo, Cómo, Actualizar, Si",1,0.00%,"{""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",14/10/2025 00:00,14/10/2025 00:00
USR-00040,2,"Crédito, Aparece, Puedo, Credito, Garantizada",1,50.00%,"{""Ruido"": 1, ""Crédito, Aparece, Puedo, Credito, Garantizada"": 1}",03/10/2025 00:00,03/10/2025 00:00
USR-00041,1,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,0.00%,"{""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",21/08/2025 00:00,21/08/2025 00:00
USR-00042,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",05/09/2025 00:00,05/09/2025 00:00
USR-00043,2,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,0.00%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",27/10/2025 00:00,05/11/2025 00:00
USR-00044,2,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Tiempo, Cuánto, Horario, Tarda, Días"": 1}",13/11/2025 00:00,13/11/2025 00:00
USR-00045,1,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 1}",05/09/2025 00:00,05/09/2025 00:00
USR-00046,2,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,50.00%,"{""Ruido"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",13/09/2025 00:00,13/09/2025 00:00
USR-00047,2,"Norte, Pal, Puedo, Extranjero, Beneficios",1,50.00%,"{""Norte, Pal, Puedo, Extranjero, Beneficios"": 1, ""Ruido"": 1}",10/08/2025 00:00,08/09/2025 00:00
USR-00048,2,"Aplicación, Puedo, Cómo, Actualizar, Si",1,50.00%,"{""Ruido"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1}",11/10/2025 00:00,12/10/2025 00:00
USR-00049,5,"Si, Puedo, Quiero, Aparece, Cómo",1,60.00%,"{""Ruido"": 3, ""Si, Puedo, Quiero, Aparece, Cómo"": 2}",29/08/2025 00:00,29/08/2025 00:00
USR-00050,3,"Dinero, Pago, Puedo, Compra, Si",1,33.33%,"{""Ruido"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",27/08/2025 00:00,27/08/2025 00:00
USR-00051,6,"Cancelar, Crédito, Quiero, Cómo, Credito",1,33.33%,"{""Ruido"": 2, ""Cancelar, Crédito, Quiero, Cómo, Credito"": 2, ""Atención, Número, Clientes, Cliente, Centro"": 1, ""Crédito, Línea, Aumento, Aumentar, Linea"": 1}",10/09/2025 00:00,29/10/2025 00:00
USR-00052,2,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",19/07/2025 00:00,19/07/2025 00:00
USR-00053,1,Desconocido/Ninguno,2,100.00%,"{""Ruido"": 1}",,
USR-00054,3,"Número, Teléfono, Numero, Puedo, Llamar",1,33.33%,"{""Ruido"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1}",04/09/2025 00:00,04/09/2025 00:00
USR-00055,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",17/09/2025 00:00,17/09/2025 00:00
USR-00056,2,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,0.00%,"{""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 2}",11/09/2025 00:00,15/09/2025 00:00
USR-00057,3,"Número, Teléfono, Numero, Puedo, Llamar",1,0.00%,"{""Número, Teléfono, Numero, Puedo, Llamar"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",04/10/2025 00:00,04/10/2025 00:00
USR-00058,2,"Crédito, Aparece, Puedo, Credito, Garantizada",1,50.00%,"{""Crédito, Aparece, Puedo, Credito, Garantizada"": 1, ""Ruido"": 1}",11/08/2025 00:00,11/08/2025 00:00
USR-00059,1,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1}",27/08/2025 00:00,27/08/2025 00:00
USR-00061,3,"Dinero, Pago, Puedo, Compra, Si",1,66.67%,"{""Ruido"": 2, ""Dinero, Pago, Puedo, Compra, Si"": 1}",25/07/2025 00:00,25/07/2025 00:00
USR-00062,3,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,66.67%,"{""Ruido"": 2, ""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1}",03/09/2025 00:00,09/09/2025 00:00
USR-00063,5,"Si, Puedo, Quiero, Aparece, Cómo",1,0.00%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 3, ""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",20/09/2025 00:00,20/09/2025 00:00
USR-00064,2,"Seguro, Auto, Póliza, Puedo, Quiero",1,0.00%,"{""Seguro, Auto, Póliza, Puedo, Quiero"": 2}",07/09/2025 00:00,07/09/2025 00:00
USR-00065,1,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 1}",23/08/2025 00:00,23/08/2025 00:00
USR-00066,2,"Crédito, Línea, Aumento, Aumentar, Linea",1,50.00%,"{""Ruido"": 1, ""Crédito, Línea, Aumento, Aumentar, Linea"": 1}",06/10/2025 00:00,16/10/2025 00:00
USR-00067,2,"Puedo, Física, Si, Cómo, Solicitar",1,50.00%,"{""Ruido"": 1, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",12/07/2025 00:00,14/07/2025 00:00
USR-00068,11,"Pesos, Mil, Meses, 000, Si",1,27.27%,"{""Pesos, Mil, Meses, 000, Si"": 4, ""Ruido"": 3, ""Si, Puedo, Quiero, Aparece, Cómo"": 3, ""Crédito, Personal, Credito, Puedo, Quiero"": 1}",19/08/2025 00:00,19/08/2025 00:00
USR-00069,6,"Crédito, Línea, Aumento, Aumentar, Linea",1,83.33%,"{""Ruido"": 5, ""Crédito, Línea, Aumento, Aumentar, Linea"": 1}",16/07/2025 00:00,16/07/2025 00:00
USR-00070,1,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,0.00%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1}",08/10/2025 00:00,08/10/2025 00:00
USR-00071,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",05/08/2025 00:00,05/08/2025 00:00
USR-00072,2,"Dinero, Pago, Puedo, Compra, Si",1,50.00%,"{""Ruido"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1}",29/09/2025 00:00,29/09/2025 00:00
USR-00073,1,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,0.00%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1}",05/09/2025 00:00,05/09/2025 00:00
USR-00074,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",19/08/2025 00:00,19/09/2025 00:00
USR-00075,1,"Inversión, Puedo, Cómo, Inversiones, Invertir",1,0.00%,"{""Inversión, Puedo, Cómo, Inversiones, Invertir"": 1}",30/08/2025 00:00,30/08/2025 00:00
USR-00076,5,"Gracias, Muchas, Bien, Momento, Ok",1,40.00%,"{""Ruido"": 2, ""Gracias, Muchas, Bien, Momento, Ok"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",09/10/2025 00:00,10/10/2025 00:00
USR-00077,4,"Número, Teléfono, Numero, Puedo, Llamar",1,75.00%,"{""Ruido"": 3, ""Número, Teléfono, Numero, Puedo, Llamar"": 1}",03/10/2025 00:00,03/10/2025 00:00
USR-00078,7,"Puedo, Física, Si, Cómo, Solicitar",1,14.29%,"{""Puedo, Física, Si, Cómo, Solicitar"": 3, ""Crédito, Aparece, Puedo, Credito, Garantizada"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1, ""Ruido"": 1}",25/10/2025 00:00,28/10/2025 00:00
USR-00080,3,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,33.33%,"{""Ruido"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Límite, Depósitos, Puedo, Cuál, Depósito"": 1}",29/07/2025 00:00,29/07/2025 00:00
USR-00081,1,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1}",09/10/2025 00:00,09/10/2025 00:00
USR-00082,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",12/08/2025 00:00,12/08/2025 00:00
USR-00083,7,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,14.29%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 3, ""Ruido"": 1, ""Clave, Interbancaria, Puedo, Ver, Dónde"": 1, ""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",20/08/2025 00:00,13/09/2025 00:00
USR-00084,12,"Oxxo, Depositar, Puedo, Hacer, Pueden",1,0.00%,"{""Oxxo, Depositar, Puedo, Hacer, Pueden"": 4, ""Número, Teléfono, Numero, Puedo, Llamar"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 2, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Gracias, Muchas, Bien, Momento, Ok"": 1}",18/10/2025 00:00,18/10/2025 00:00
USR-00085,3,"Si, Puedo, Quiero, Aparece, Cómo",1,33.33%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 2, ""Ruido"": 1}",21/08/2025 00:00,21/08/2025 00:00
USR-00086,4,"Si, Puedo, Quiero, Aparece, Cómo",1,75.00%,"{""Ruido"": 3, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",07/10/2025 00:00,07/10/2025 00:00
USR-00087,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",14/09/2025 00:00,15/09/2025 00:00
USR-00088,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",22/07/2025 00:00,22/07/2025 00:00
USR-00089,3,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 3}",29/10/2025 00:00,29/10/2025 00:00
USR-00090,4,"Dinero, Pago, Puedo, Compra, Si",1,50.00%,"{""Ruido"": 2, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",05/09/2025 00:00,05/09/2025 00:00
USR-00091,2,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,50.00%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Ruido"": 1}",30/09/2025 00:00,30/09/2025 00:00
USR-00092,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",06/09/2025 00:00,21/09/2025 00:00
USR-00093,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",14/08/2025 00:00,14/08/2025 00:00
USR-00094,5,"Puedo, Física, Si, Cómo, Solicitar",1,60.00%,"{""Ruido"": 3, ""Puedo, Física, Si, Cómo, Solicitar"": 2}",29/09/2025 00:00,11/10/2025 00:00
USR-00095,10,"Puedo, Física, Si, Cómo, Solicitar",1,70.00%,"{""Ruido"": 7, ""Puedo, Física, Si, Cómo, Solicitar"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",19/08/2025 00:00,19/08/2025 00:00
USR-00096,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",24/09/2025 00:00,24/09/2025 00:00
USR-00097,1,"Número, Teléfono, Numero, Puedo, Llamar",1,0.00%,"{""Número, Teléfono, Numero, Puedo, Llamar"": 1}",17/09/2025 00:00,17/09/2025 00:00
USR-00098,4,"Dinero, Pago, Puedo, Compra, Si",1,75.00%,"{""Ruido"": 3, ""Dinero, Pago, Puedo, Compra, Si"": 1}",02/09/2025 00:00,02/09/2025 00:00
USR-00099,1,"Meses, 000, Enganche, 60, 36",1,0.00%,"{""Meses, 000, Enganche, 60, 36"": 1}",05/09/2025 00:00,05/09/2025 00:00
USR-00100,2,"Oxxo, Depositar, Puedo, Hacer, Pueden",1,50.00%,"{""Oxxo, Depositar, Puedo, Hacer, Pueden"": 1, ""Ruido"": 1}",16/10/2025 00:00,07/11/2025 00:00
USR-00101,2,"Auto, Crédito, Quiero, Automotriz, Credito",1,0.00%,"{""Auto, Crédito, Quiero, Automotriz, Credito"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",06/09/2025 00:00,06/09/2025 00:00
USR-00102,3,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,66.67%,"{""Ruido"": 2, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",13/11/2025 00:00,13/11/2025 00:00
USR-00103,2,"Cargo, Reportar, Reconocido, Cómo, Reporte",1,50.00%,"{""Cargo, Reportar, Reconocido, Cómo, Reporte"": 1, ""Ruido"": 1}",24/08/2025 00:00,24/08/2025 00:00
USR-00104,3,"Dinero, Pago, Puedo, Compra, Si",1,33.33%,"{""Dinero, Pago, Puedo, Compra, Si"": 1, ""Ruido"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1}",02/09/2025 00:00,02/09/2025 00:00
USR-00105,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",13/10/2025 00:00,13/10/2025 00:00
USR-00106,1,"Pay, Apple, Verificar, Cómo, Puedo",1,0.00%,"{""Pay, Apple, Verificar, Cómo, Puedo"": 1}",17/09/2025 00:00,17/09/2025 00:00
USR-00107,3,"Dinero, Pago, Puedo, Compra, Si",1,66.67%,"{""Ruido"": 2, ""Dinero, Pago, Puedo, Compra, Si"": 1}",02/09/2025 00:00,02/09/2025 00:00
USR-00108,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",12/08/2025 00:00,15/08/2025 00:00
USR-00109,3,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,33.33%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Ruido"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",18/10/2025 00:00,18/10/2025 00:00
USR-00110,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",06/09/2025 00:00,06/09/2025 00:00
USR-00111,2,"Cancelar, Quiero, Garantizada, Cómo, Garantía",1,0.00%,"{""Cancelar, Quiero, Garantizada, Cómo, Garantía"": 1, ""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1}",28/07/2025 00:00,31/07/2025 00:00
USR-00112,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",05/08/2025 00:00,05/08/2025 00:00
USR-00113,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",11/09/2025 00:00,11/09/2025 00:00
USR-00114,2,"Movimiento, Movimientos, Reconozco, Reconocido, Reportar",1,0.00%,"{""Movimiento, Movimientos, Reconozco, Reconocido, Reportar"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1}",29/08/2025 00:00,29/08/2025 00:00
USR-00115,4,"Si, Puedo, Quiero, Aparece, Cómo",2,50.00%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1}",,
USR-00116,3,"Puedo, Física, Si, Cómo, Solicitar",1,33.33%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Ruido"": 1}",17/10/2025 00:00,17/10/2025 00:00
USR-00117,5,"Si, Puedo, Quiero, Aparece, Cómo",2,60.00%,"{""Ruido"": 3, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Clave, Interbancaria, Puedo, Ver, Dónde"": 1}",09/08/2025 00:00,09/08/2025 00:00
USR-00118,6,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,33.33%,"{""Ruido"": 2, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Cancelar, Crédito, Quiero, Cómo, Credito"": 1, ""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1}",30/07/2025 00:00,15/09/2025 00:00
USR-00119,8,"Si, Puedo, Quiero, Aparece, Cómo",2,12.50%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Crédito, Personal, Credito, Puedo, Quiero"": 1, ""Ruido"": 1, ""Cancelar, Crédito, Quiero, Cómo, Credito"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Gracias, Muchas, Bien, Momento, Ok"": 1}",,
USR-00120,14,"Si, Puedo, Quiero, Aparece, Cómo",1,35.71%,"{""Ruido"": 5, ""Si, Puedo, Quiero, Aparece, Cómo"": 3, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 2, ""Virtual, Puedo, Cambiar, Cómo, Si"": 2, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1, ""Inversión, Puedo, Cómo, Inversiones, Invertir"": 1}",14/09/2025 00:00,09/10/2025 00:00
USR-00121,2,"Pay, Apple, Verificar, Cómo, Puedo",1,50.00%,"{""Ruido"": 1, ""Pay, Apple, Verificar, Cómo, Puedo"": 1}",01/09/2025 00:00,02/09/2025 00:00
USR-00122,3,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,0.00%,"{""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1, ""Hablar, Puedo, Quiero, Contacto, Alguien"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",13/08/2025 00:00,13/08/2025 00:00
USR-00123,2,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,50.00%,"{""Ruido"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",22/07/2025 00:00,10/08/2025 00:00
USR-00124,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",25/08/2025 00:00,25/08/2025 00:00
USR-00125,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",24/10/2025 00:00,24/10/2025 00:00
USR-00126,3,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 3}",22/07/2025 00:00,25/07/2025 00:00
USR-00127,3,"Puedo, Física, Si, Cómo, Solicitar",1,33.33%,"{""Puedo, Física, Si, Cómo, Solicitar"": 2, ""Ruido"": 1}",23/10/2025 00:00,23/10/2025 00:00
USR-00128,2,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",18/08/2025 00:00,18/08/2025 00:00
USR-00129,2,"Si, Puedo, Quiero, Aparece, Cómo",1,50.00%,"{""Ruido"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",04/09/2025 00:00,04/09/2025 00:00
USR-00130,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",16/09/2025 00:00,16/09/2025 00:00
USR-00131,1,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,0.00%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",19/09/2025 00:00,19/09/2025 00:00
