producto_id,user_id,tipo_producto,fecha_apertura,estatus,limite_credito,saldo_actual,utilizacion_pct,tasa_interes_anual,plazo_meses,monto_mensualidad,fecha_ultimo_movimiento,es_dato_sintetico
PRD-00000027,USR-00012,tarjeta_credito_hey,2024-09-07,activo,27000.0,25874.1,0.9583,36.54,,,2025-10-02,True
PRD-00000028,USR-00012,credito_personal,2024-04-02,activo,30000.0,26958.0,0.8986,26.04,18.0,1825.14,2025-11-21,True
PRD-00000029,USR-00013,cuenta_debito,2025-10-06,activo,,13626.45,,,,,2025-10-01,True
PRD-00000030,USR-00013,credito_nomina,2024-07-21,activo,38000.0,10552.6,0.2777,25.07,6.0,1889.58,2025-09-11,True
PRD-00000031,USR-00014,cuenta_debito,2022-04-09,activo,,28566.67,,,,,2025-11-03,True
PRD-00000032,USR-00014,tarjeta_credito_hey,2023-10-04,activo,140000.0,24752.0,0.1768,29.81,,,2025-11-07,True
PRD-00000033,USR-00014,credito_nomina,2021-09-26,activo,49000.0,15939.7,0.3253,27.49,24.0,870.77,2025-09-14,True
PRD-00000034,USR-00015,cuenta_debito,2025-06-10,activo,,19483.87,,,,,2025-10-26,True
PRD-00000035,USR-00015,credito_nomina,2025-11-21,activo,6000.0,1600.8,0.2668,24.06,6.0,285.83,2025-10-26,True
PRD-00000036,USR-00015,seguro_vida,2024-12-22,activo,,,,,,,2025-11-27,True
PRD-00000037,USR-00016,cuenta_debito,2024-03-04,activo,,1173.68,,,,,2025-11-17,True
PRD-00000038,USR-00016,tarjeta_credito_hey,2023-12-17,activo,51000.0,26183.4,0.5134,43.15,,,2025-09-07,True
PRD-00000039,USR-00016,credito_nomina,2023-10-09,activo,42000.0,20286.0,0.483,21.53,12.0,1894.07,2025-10-27,True
PRD-00000040,USR-00016,inversion_hey,2024-10-03,activo,,47081.91,,9.29,,,2025-11-21,True
PRD-00000041,USR-00017,cuenta_debito,2025-10-11,activo,,76474.3,,,,,2025-11-16,True
PRD-00000042,USR-00017,inversion_hey,2025-06-01,activo,,214637.88,,7.45,,,2025-10-12,True
PRD-00000043,USR-00017,tarjeta_credito_hey,2025-06-13,activo,25000.0,8622.5,0.3449,38.82,,,2025-10-06,True
PRD-00000044,USR-00018,cuenta_debito,2022-06-29,activo,,12335.2,,,,,2025-09-16,True
PRD-00000045,USR-00018,tarjeta_credito_hey,2023-11-19,activo,15000.0,4659.0,0.3106,29.41,,,2025-08-31,True
PRD-00000046,USR-00018,credito_nomina,2025-08-11,activo,53000.0,16043.1,0.3027,23.13,12.0,1510.28,2025-09-07,True
PRD-00000047,USR-00019,cuenta_debito,2024-03-24,cancelado,,60085.52,,,,,2025-10-03,True
PRD-00000048,USR-00020,cuenta_debito,2023-05-02,activo,,18493.53,,,,,2025-09-30,True
PRD-00000049,USR-00020,inversion_hey,2025-01-01,cancelado,,348143.35,,9.53,,,2025-10-01,True
PRD-00000050,USR-00020,tarjeta_credito_hey,2022-09-11,activo,47000.0,2646.1,0.0563,42.55,,,2025-09-12,True
PRD-00000051,USR-00020,seguro_compras,2025-08-30,activo,,,,,,,2025-10-22,True
PRD-00000052,USR-00021,cuenta_debito,2025-11-08,activo,,84738.3,,,,,2025-11-21,True
PRD-00000053,USR-00022,cuenta_debito,2025-10-02,suspendido,,82953.44,,,,,2025-10-22,True
PRD-00000054,USR-00022,cuenta_negocios,2025-11-05,suspendido,,71134.82,,,,,2025-10-14,True
PRD-00000055,USR-00023,cuenta_debito,2025-07-27,activo,,1414.53,,,,,2025-11-15,True
PRD-00000056,USR-00023,credito_nomina,2022-10-30,activo,7000.0,3770.2,0.5386,29.77,18.0,262.24,2025-11-25,True
PRD-00000057,USR-00023,inversion_hey,2022-10-16,activo,,29381.57,,7.57,,,2025-11-08,True
PRD-00000058,USR-00024,cuenta_debito,2024-06-07,activo,,60665.56,,,,,2025-09-26,True
PRD-00000059,USR-00024,inversion_hey,2024-10-17,activo,,383421.86,,8.41,,,2025-11-01,True
PRD-00000060,USR-00024,tarjeta_credito_hey,2025-10-03,activo,44000.0,4809.2,0.1093,37.23,,,2025-10-25,True
PRD-00000061,USR-00024,seguro_vida,2025-09-07,activo,,,,,,,2025-09-14,True
PRD-00000062,USR-00024,credito_auto,2024-06-14,activo,167000.0,11523.0,0.069,19.94,48.0,350.28,2025-11-16,True
PRD-00000063,USR-00025,cuenta_debito,2025-04-22,activo,,43811.07,,,,,2025-10-04,True
PRD-00000064,USR-00025,credito_nomina,2025-08-29,activo,35000.0,15669.5,0.4477,29.66,24.0,873.39,2025-11-02,True
PRD-00000065,USR-00025,seguro_vida,2025-04-21,activo,,,,,,,2025-09-09,True
PRD-00000066,USR-00026,cuenta_debito,2025-06-29,activo,,25337.31,,,,,2025-09-07,True
PRD-00000067,USR-00026,tarjeta_credito_hey,2025-07-07,activo,73000.0,40434.7,0.5539,45.3,,,2025-11-18,True
PRD-00000068,USR-00027,cuenta_debito,2024-12-25,activo,,12352.96,,,,,2025-11-11,True
PRD-00000069,USR-00028,cuenta_debito,2024-02-08,activo,,24374.47,,,,,2025-11-09,True
PRD-00000070,USR-00028,tarjeta_credito_hey,2025-06-23,activo,135000.0,90085.5,0.6673,29.93,,,2025-08-30,True
PRD-00000071,USR-00029,cuenta_debito,2025-06-11,activo,,71167.41,,,,,2025-09-04,True
PRD-00000072,USR-00029,cuenta_negocios,2025-02-15,activo,,23916.36,,,,,2025-10-05,True
PRD-00000073,USR-00029,tarjeta_credito_negocios,2025-06-15,activo,377000.0,206633.7,0.5481,51.37,,,2025-10-06,True
PRD-00000074,USR-00029,credito_personal,2025-09-26,activo,49000.0,5130.3,0.1047,43.42,36.0,257.16,2025-09-25,True
PRD-00000075,USR-00030,cuenta_debito,2024-10-05,activo,,3474.47,,,,,2025-10-29,True
PRD-00000076,USR-00030,tarjeta_credito_hey,2025-03-07,cancelado,49000.0,32683.0,0.667,31.7,,,2025-10-09,True
PRD-00000077,USR-00030,seguro_compras,2025-05-17,activo,,,,,,,2025-09-19,True
PRD-00000078,USR-00031,cuenta_debito,2023-09-01,activo,,13909.78,,,,,2025-10-16,True
PRD-00000079,USR-00031,credito_personal,2023-09-26,revision_de_pagos,38000.0,36582.6,0.9627,43.88,36.0,1843.77,2025-10-01,True
PRD-00000080,USR-00032,cuenta_debito,2023-12-03,activo,,51480.77,,,,,2025-09-10,True
PRD-00000081,USR-00032,inversion_hey,2024-03-27,activo,,258419.57,,6.29,,,2025-09-25,True
PRD-00000082,USR-00032,tarjeta_credito_hey,2024-08-07,activo,114000.0,9576.0,0.084,42.5,,,2025-10-19,True
PRD-00000083,USR-00033,cuenta_debito,2025-06-12,activo,,84573.95,,,,,2025-09-04,True
PRD-00000084,USR-00033,tarjeta_credito_hey,2025-06-12,activo,86000.0,69032.2,0.8027,41.31,,,2025-09-23,True
PRD-00000085,USR-00034,cuenta_debito,2023-08-23,activo,,21031.96,,,,,2025-09-20,True
PRD-00000086,USR-00034,inversion_hey,2023-07-04,activo,,114313.71,,4.84,,,2025-11-12,True
PRD-00000087,USR-00034,seguro_compras,2025-03-03,cancelado,,,,,,,2025-11-28,True
PRD-00000088,USR-00035,cuenta_debito,2025-09-19,activo,,45954.22,,,,,2025-10-18,True
PRD-00000089,USR-00035,inversion_hey,2025-10-09,activo,,145758.15,,4.21,,,2025-09-16,True
PRD-00000090,USR-00035,tarjeta_credito_hey,2025-11-12,activo,72000.0,11340.0,0.1575,41.12,,,2025-09-04,True
PRD-00000091,USR-00036,cuenta_debito,2024-08-24,activo,,593.93,,,,,2025-10-14,True
PRD-00000092,USR-00036,tarjeta_credito_hey,2025-03-13,activo,138000.0,54855.0,0.3975,39.58,,,2025-11-19,True
PRD-00000093,USR-00036,credito_nomina,2024-03-21,activo,68000.0,28220.0,0.415,33.88,24.0,1634.77,2025-10-12,True
PRD-00000094,USR-00036,seguro_vida,2023-12-04,activo,,,,,,,2025-11-28,True
PRD-00000095,USR-00037,cuenta_debito,2023-07-04,activo,,56431.85,,,,,2025-09-07,True
PRD-00000096,USR-00037,tarjeta_credito_hey,2024-06-25,cancelado,15000.0,3661.5,0.2441,45.14,,,2025-11-02,True
PRD-00000097,USR-00038,cuenta_debito,2025-07-28,activo,,37131.93,,,,,2025-10-14,True
PRD-00000098,USR-00038,credito_nomina,2024-03-01,activo,66000.0,28452.6,0.4311,32.62,18.0,2019.8,2025-09-20,True
PRD-00000099,USR-00038,inversion_hey,2025-08-03,activo,,15126.09,,7.72,,,2025-09-29,True
PRD-00000100,USR-00039,cuenta_debito,2025-06-01,cancelado,,42608.01,,,,,2025-11-26,True
PRD-00000101,USR-00040,cuenta_debito,2024-11-07,activo,,40645.76,,,,,2025-11-07,True
PRD-00000102,USR-00040,inversion_hey,2023-10-12,activo,,28713.88,,8.74,,,2025-09-08,True
PRD-00000103,USR-00040,tarjeta_credito_hey,2025-10-17,suspendido,32000.0,2796.8,0.0874,43.12,,,2025-10-20,True
PRD-00000104,USR-00041,cuenta_debito,2024-08-22,activo,,14831.71,,,,,2025-11-04,True
PRD-00000105,USR-00041,tarjeta_credito_hey,2024-10-19,activo,108000.0,24040.8,0.2226,29.72,,,2025-09-27,True
PRD-00000106,USR-00042,cuenta_debito,2025-02-06,activo,,81372.57,,,,,2025-09-11,True
PRD-00000107,USR-00042,credito_personal,2022-04-17,activo,44000.0,32159.6,0.7309,45.88,36.0,1659.45,2025-10-03,True
PRD-00000108,USR-00043,cuenta_debito,2024-10-26,activo,,10881.93,,,,,2025-10-27,True
PRD-00000109,USR-00043,cuenta_negocios,2025-08-24,activo,,38449.5,,,,,2025-11-09,True
PRD-00000110,USR-00043,tarjeta_credito_negocios,2023-10-16,activo,242000.0,83127.0,0.3435,41.61,,,2025-10-30,True
PRD-00000111,USR-00044,cuenta_debito,2023-04-04,activo,,43999.3,,,,,2025-11-10,True
PRD-00000112,USR-00044,tarjeta_credito_hey,2025-09-21,activo,57000.0,31298.7,0.5491,30.27,,,2025-11-23,True
PRD-00000113,USR-00045,cuenta_debito,2025-11-03,activo,,34834.98,,,,,2025-10-07,True
PRD-00000114,USR-00046,cuenta_debito,2025-04-26,activo,,33774.48,,,,,2025-11-28,True
PRD-00000115,USR-00046,tarjeta_credito_hey,2023-09-09,activo,144000.0,31046.4,0.2156,38.45,,,2025-09-08,True
PRD-00000116,USR-00046,seguro_compras,2024-03-27,activo,,,,,,,2025-09-02,True
PRD-00000117,USR-00047,cuenta_debito,2025-07-09,activo,,49859.51,,,,,2025-09-13,True
PRD-00000118,USR-00047,tarjeta_credito_hey,2022-11-23,activo,114000.0,31099.2,0.2728,41.84,,,2025-10-22,True
PRD-00000119,USR-00047,credito_nomina,2023-04-15,activo,7000.0,1887.2,0.2696,23.46,18.0,125.38,2025-09-19,True
PRD-00000120,USR-00047,seguro_vida,2023-10-07,activo,,,,,,,2025-10-13,True
PRD-00000121,USR-00048,cuenta_debito,2024-05-04,activo,,27667.2,,,,,2025-09-10,True
PRD-00000122,USR-00048,inversion_hey,2025-08-22,activo,,468288.93,,6.77,,,2025-11-20,True
PRD-00000123,USR-00048,tarjeta_credito_hey,2025-03-23,activo,61000.0,5978.0,0.098,40.18,,,2025-10-24,True
PRD-00000124,USR-00048,credito_auto,2025-01-20,activo,339000.0,110344.5,0.3255,14.43,24.0,5320.4,2025-09-03,True
PRD-00000125,USR-00049,cuenta_debito,2023-04-14,activo,,18848.48,,,,,2025-10-13,True
PRD-00000126,USR-00050,cuenta_debito,2023-06-25,activo,,72332.68,,,,,2025-09-17,True
PRD-00000127,USR-00050,cuenta_negocios,2023-12-25,activo,,24239.45,,,,,2025-11-02,True
PRD-00000128,USR-00050,tarjeta_credito_negocios,2025-03-13,activo,169000.0,26752.7,0.1583,43.29,,,2025-09-08,True
PRD-00000129,USR-00050,credito_auto,2025-09-30,activo,170000.0,68187.0,0.4011,15.72,36.0,2387.84,2025-10-10,True
PRD-00000130,USR-00051,cuenta_debito,2023-04-08,activo,,57280.24,,,,,2025-09-22,True
PRD-00000131,USR-00051,cuenta_negocios,2023-02-28,activo,,79419.91,,,,,2025-09-28,True
PRD-00000132,USR-00051,tarjeta_credito_negocios,2023-10-21,cancelado,300000.0,107910.0,0.3597,41.85,,,2025-11-18,True
PRD-00000133,USR-00052,cuenta_debito,2025-03-23,cancelado,,49700.18,,,,,2025-11-19,True
PRD-00000134,USR-00052,tarjeta_credito_garantizada,2023-12-05,activo,15000.0,3133.5,0.2089,58.85,,,2025-10-28,True
PRD-00000135,USR-00053,cuenta_debito,2024-02-29,cancelado,,15654.41,,,,,2025-10-02,True
PRD-00000136,USR-00053,tarjeta_credito_garantizada,2023-11-14,cancelado,17000.0,4909.6,0.2888,43.26,,,2025-09-02,True
PRD-00000137,USR-00054,cuenta_debito,2025-11-26,activo,,17101.85,,,,,2025-11-12,True
PRD-00000138,USR-00054,tarjeta_credito_hey,2023-12-24,activo,78000.0,33664.8,0.4316,37.93,,,2025-10-21,True
PRD-00000139,USR-00054,credito_nomina,2023-05-08,activo,9000.0,1618.2,0.1798,24.17,24.0,85.69,2025-11-10,True
PRD-00000140,USR-00055,cuenta_debito,2025-11-14,activo,,53502.48,,,,,2025-09-04,True
PRD-00000141,USR-00055,inversion_hey,2025-04-18,activo,,226380.95,,5.32,,,2025-09-22,True
PRD-00000142,USR-00055,tarjeta_credito_hey,2025-11-05,activo,52000.0,13598.0,0.2615,37.52,,,2025-10-03,True
PRD-00000143,USR-00055,seguro_vida,2025-09-05,activo,,,,,,,2025-09-25,True
PRD-00000144,USR-00056,cuenta_debito,2024-12-11,activo,,4787.77,,,,,2025-11-24,True
PRD-00000145,USR-00056,tarjeta_credito_hey,2025-07-05,activo,97000.0,25966.9,0.2677,31.42,,,2025-09-28,True
PRD-00000146,USR-00057,cuenta_debito,2023-12-16,activo,,72403.56,,,,,2025-11-24,True
PRD-00000147,USR-00057,inversion_hey,2023-12-28,activo,,443881.32,,6.63,,,2025-09-26,True
PRD-00000148,USR-00057,tarjeta_credito_hey,2023-12-29,activo,122000.0,24936.8,0.2044,28.46,,,2025-10-31,True
PRD-00000149,USR-00057,credito_auto,2023-08-03,activo,178000.0,54770.6,0.3077,21.84,36.0,2087.18,2025-10-19,True
PRD-00000150,USR-00058,cuenta_debito,2024-02-26,activo,,33467.32,,,,,2025-09-24,True
PRD-00000151,USR-00058,tarjeta_credito_hey,2022-08-25,suspendido,105000.0,90048.0,0.8576,44.27,,,2025-11-09,True
PRD-00000152,USR-00058,credito_personal,2024-11-23,activo,69000.0,62017.2,0.8988,45.58,24.0,3983.96,2025-09-22,True
PRD-00000153,USR-00059,cuenta_debito,2025-07-06,cancelado,,54927.15,,,,,2025-10-20,True
PRD-00000154,USR-00060,cuenta_debito,2023-01-10,activo,,37920.65,,,,,2025-10-31,True
PRD-00000155,USR-00060,tarjeta_credito_negocios,2022-04-30,activo,90000.0,13356.0,0.1484,36.72,,,2025-11-13,True
PRD-00000156,USR-00060,credito_personal,2021-03-19,activo,50000.0,12730.0,0.2546,42.39,18.0,967.75,2025-09-27,True
PRD-00000157,USR-00061,cuenta_debito,2025-02-01,cancelado,,31684.84,,,,,2025-10-31,True
PRD-00000158,USR-00061,cuenta_negocios,2025-01-10,activo,,62370.85,,,,,2025-10-30,True
PRD-00000159,USR-00062,cuenta_debito,2025-05-24,activo,,65509.99,,,,,2025-10-09,True
PRD-00000160,USR-00062,tarjeta_credito_hey,2025-07-05,activo,109000.0,77520.8,0.7112,31.7,,,2025-10-23,True
PRD-00000161,USR-00062,credito_personal,2025-11-08,activo,90000.0,81144.0,0.9016,52.16,18.0,6591.74,2025-09-16,True
PRD-00000162,USR-00063,cuenta_debito,2025-05-16,activo,,19060.14,,,,,2025-09-23,True
PRD-00000163,USR-00063,inversion_hey,2025-08-01,activo,,185282.52,,7.87,,,2025-09-29,True
PRD-00000164,USR-00063,tarjeta_credito_hey,2025-09-29,activo,131000.0,11383.9,0.0869,38.38,,,2025-11-18,True
PRD-00000165,USR-00063,seguro_vida,2025-11-26,activo,,,,,,,2025-08-31,True
PRD-00000166,USR-00064,cuenta_debito,2024-11-22,activo,,35234.25,,,,,2025-10-27,True
PRD-00000167,USR-00064,tarjeta_credito_garantizada,2022-03-23,revision_de_pagos,13000.0,11350.3,0.8731,60.8,,,2025-10-02,True
PRD-00000168,USR-00064,credito_personal,2023-05-28,revision_de_pagos,82000.0,68355.2,0.8336,27.5,18.0,4677.19,2025-10-23,True
PRD-00000169,USR-00065,cuenta_debito,2025-02-13,activo,,35402.72,,,,,2025-11-09,True
PRD-00000170,USR-00065,tarjeta_credito_hey,2024-12-12,activo,84000.0,46250.4,0.5506,37.86,,,2025-10-12,True
PRD-00000171,USR-00066,cuenta_debito,2025-10-23,activo,,34827.23,,,,,2025-09-21,True
PRD-00000172,USR-00066,credito_nomina,2024-10-16,activo,32000.0,16870.4,0.5272,19.82,24.0,857.15,2025-10-11,True
PRD-00000173,USR-00066,seguro_vida,2025-11-16,activo,,,,,,,2025-11-21,True
PRD-00000174,USR-00067,cuenta_debito,2025-02-02,activo,,36260.14,,,,,2025-09-14,True
PRD-00000175,USR-00067,credito_personal,2023-08-19,suspendido,63000.0,55868.4,0.8868,47.29,12.0,5932.48,2025-11-20,True
PRD-00000176,USR-00068,cuenta_debito,2024-01-22,activo,,68592.03,,,,,2025-11-28,True
PRD-00000177,USR-00068,credito_nomina,2023-06-18,activo,53000.0,18269.1,0.3447,30.9,6.0,3325.08,2025-09-15,True
PRD-00000178,USR-00068,seguro_vida,2023-05-19,activo,,,,,,,2025-09-22,True
PRD-00000179,USR-00069,cuenta_debito,2025-01-08,activo,,28313.46,,,,,2025-11-22,True
PRD-00000180,USR-00069,tarjeta_credito_negocios,2024-12-21,activo,392000.0,201135.2,0.5131,51.89,,,2025-09-21,True
PRD-00000181,USR-00069,credito_auto,2025-04-16,activo,111000.0,33777.3,0.3043,23.83,36.0,1322.17,2025-11-13,True
PRD-00000182,USR-00070,cuenta_debito,2023-11-14,activo,,6270.87,,,,,2025-08-30,True
PRD-00000183,USR-00070,tarjeta_credito_hey,2022-06-19,activo,21000.0,17037.3,0.8113,36.11,,,2025-11-05,True
PRD-00000184,USR-00071,cuenta_debito,2025-07-23,activo,,46798.9,,,,,2025-09-24,True
PRD-00000185,USR-00072,cuenta_debito,2025-06-22,cancelado,,71069.4,,,,,2025-10-17,True
PRD-00000186,USR-00072,credito_nomina,2024-04-21,activo,53000.0,27772.0,0.524,21.3,6.0,4920.44,2025-09-11,True
PRD-00000187,USR-00072,seguro_vida,2025-08-18,activo,,,,,,,2025-11-18,True
PRD-00000188,USR-00073,cuenta_debito,2022-10-16,activo,,44942.7,,,,,2025-09-27,True
PRD-00000189,USR-00073,inversion_hey,2023-01-20,activo,,209920.61,,4.01,,,2025-11-18,True
PRD-00000190,USR-00073,tarjeta_credito_hey,2025-01-30,activo,17000.0,4775.3,0.2809,46.42,,,2025-11-15,True
PRD-00000191,USR-00073,credito_auto,2025-01-23,activo,376000.0,96895.2,0.2577,20.61,24.0,4960.48,2025-10-05,True
PRD-00000192,USR-00074,cuenta_debito,2024-10-29,activo,,16043.96,,,,,2025-10-16,True
PRD-00000193,USR-00075,cuenta_debito,2024-03-06,activo,,1922.49,,,,,2025-10-31,True
PRD-00000194,USR-00075,cuenta_negocios,2023-02-23,activo,,8040.83,,,,,2025-09-12,True
PRD-00000195,USR-00075,tarjeta_credito_negocios,2022-10-13,activo,191000.0,59572.9,0.3119,41.73,,,2025-09-20,True
PRD-00000196,USR-00076,cuenta_debito,2025-08-10,activo,,63289.69,,,,,2025-10-29,True
PRD-00000197,USR-00076,tarjeta_credito_hey,2025-03-09,activo,59000.0,33429.4,0.5666,33.22,,,2025-09-21,True
PRD-00000198,USR-00076,seguro_compras,2025-05-27,activo,,,,,,,2025-09-02,True
PRD-00000199,USR-00077,cuenta_debito,2024-09-22,activo,,58226.9,,,,,2025-09-09,True
PRD-00000200,USR-00077,tarjeta_credito_hey,2022-09-19,activo,147000.0,26695.2,0.1816,33.37,,,2025-09-08,True
PRD-00000201,USR-00077,seguro_vida,2024-11-14,activo,,,,,,,2025-10-24,True
PRD-00000202,USR-00078,cuenta_debito,2024-04-29,activo,,78350.94,,,,,2025-10-09,True
PRD-00000203,USR-00078,cuenta_negocios,2023-07-17,activo,,4145.63,,,,,2025-10-16,True
PRD-00000204,USR-00078,tarjeta_credito_negocios,2024-02-16,activo,207000.0,40240.8,0.1944,42.94,,,2025-10-15,True
PRD-00000205,USR-00079,cuenta_debito,2021-09-30,activo,,48992.71,,,,,2025-10-24,True
PRD-00000206,USR-00080,cuenta_debito,2025-09-18,activo,,66058.2,,,,,2025-09-20,True
PRD-00000207,USR-00080,tarjeta_credito_hey,2024-03-09,revision_de_pagos,63000.0,60341.4,0.9578,46.0,,,2025-08-31,True
PRD-00000208,USR-00080,credito_personal,2024-06-11,revision_de_pagos,66000.0,44952.6,0.6811,46.84,24.0,2919.19,2025-10-25,True
PRD-00000209,USR-00081,cuenta_debito,2023-11-13,suspendido,,59440.71,,,,,2025-10-02,True
PRD-00000210,USR-00081,inversion_hey,2025-03-10,activo,,272156.39,,7.88,,,2025-10-31,True
PRD-00000211,USR-00082,cuenta_debito,2023-07-05,activo,,81711.06,,,,,2025-09-09,True
PRD-00000212,USR-00082,tarjeta_credito_hey,2024-11-10,activo,97000.0,20709.5,0.2135,35.69,,,2025-11-05,True
PRD-00000213,USR-00083,cuenta_debito,2022-01-30,activo,,57961.95,,,,,2025-10-26,True
PRD-00000214,USR-00083,tarjeta_credito_hey,2025-08-08,revision_de_pagos,77000.0,76407.1,0.9923,29.28,,,2025-09-09,True
PRD-00000215,USR-00083,tarjeta_credito_garantizada,2022-05-27,activo,2000.0,1720.8,0.8604,48.79,,,2025-10-08,True
PRD-00000216,USR-00084,cuenta_debito,2024-08-27,activo,,79453.35,,,,,2025-09-27,True
PRD-00000217,USR-00084,inversion_hey,2024-01-08,activo,,149541.91,,9.67,,,2025-09-13,True
PRD-00000218,USR-00085,cuenta_debito,2024-12-21,activo,,16809.43,,,,,2025-10-06,True
PRD-00000219,USR-00085,tarjeta_credito_hey,2025-11-25,activo,125000.0,112237.5,0.8979,30.03,,,2025-11-27,True
PRD-00000220,USR-00085,credito_personal,2024-06-21,suspendido,79000.0,72711.6,0.9204,51.65,12.0,7884.93,2025-10-22,True
PRD-00000221,USR-00086,cuenta_debito,2023-09-07,activo,,64527.19,,,,,2025-10-26,True
PRD-00000222,USR-00086,inversion_hey,2024-04-03,activo,,17172.7,,7.32,,,2025-09-22,True
PRD-00000223,USR-00086,tarjeta_credito_hey,2023-06-04,activo,26000.0,2849.6,0.1096,43.13,,,2025-11-10,True
PRD-00000224,USR-00087,cuenta_debito,2024-09-11,cancelado,,34144.41,,,,,2025-11-06,True
PRD-00000225,USR-00087,tarjeta_credito_hey,2024-03-17,activo,138000.0,81627.0,0.5915,30.38,,,2025-09-26,True
PRD-00000226,USR-00088,cuenta_debito,2023-07-24,cancelado,,54563.41,,,,,2025-11-18,True
PRD-00000227,USR-00088,tarjeta_credito_garantizada,2025-03-24,activo,20000.0,9468.0,0.4734,57.25,,,2025-09-03,True
PRD-00000228,USR-00089,cuenta_debito,2025-07-29,activo,,60282.49,,,,,2025-09-05,True
PRD-00000229,USR-00090,cuenta_debito,2022-03-04,activo,,51790.77,,,,,2025-09-24,True
PRD-00000230,USR-00090,cuenta_negocios,2021-08-08,activo,,64497.65,,,,,2025-10-14,True
PRD-00000231,USR-00090,tarjeta_credito_negocios,2025-03-24,activo,293000.0,64342.8,0.2196,48.96,,,2025-09-23,True
PRD-00000232,USR-00090,credito_personal,2022-05-25,activo,69000.0,30849.9,0.4471,28.9,24.0,1707.49,2025-10-18,True
PRD-00000233,USR-00091,cuenta_debito,2025-05-23,cancelado,,35198.51,,,,,2025-09-15,True
PRD-00000234,USR-00091,tarjeta_credito_hey,2024-12-27,activo,69000.0,19099.2,0.2768,32.37,,,2025-09-29,True
PRD-00000235,USR-00091,seguro_vida,2024-09-11,activo,,,,,,,2025-09-02,True
PRD-00000236,USR-00092,cuenta_debito,2024-07-27,activo,,39716.98,,,,,2025-10-30,True
PRD-00000237,USR-00093,cuenta_debito,2022-10-07,activo,,75970.28,,,,,2025-10-28,True
PRD-00000238,USR-00093,credito_personal,2023-01-10,activo,74000.0,71817.0,0.9705,24.07,18.0,4792.8,2025-10-22,True
PRD-00000239,USR-00094,cuenta_debito,2024-08-22,activo,,59898.94,,,,,2025-09-05,True
