user_id,nodos_financieros,nodos_conversacionales,tags_personalidad,perfil_final_tda,necesidad_principal
USR-00078,"['cube204_cluster1', 'cube205_cluster2', 'cube219_cluster1', 'cube220_cluster0']","['cube26_cluster34', 'cube27_cluster24']","['Usuario Estándar', 'Viajero de Alto Valor (Premium)']",Especialista: promedio_transporte + Viajero de Alto Valor (Premium),"Puedo, Física, Si, Cómo, Solicitar"
USR-00079,"['cube136_cluster0', 'cube137_cluster0', 'cube155_cluster0', 'cube156_cluster1']","['cube41_cluster11', 'cube42_cluster10']",['Usuario en Riesgo de Abandono (Inactivo)'],Especialista: Usuario en Riesgo de Abandono (Inactivo) + Usuario Mobile-First (Ecosistema Huawei),
USR-00080,"['cube174_cluster0', 'cube191_cluster1']","['cube32_cluster2', 'cube33_cluster35']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-00081,"['cube45_cluster1', 'cube60_cluster1']","['cube7_cluster49', 'cube8_cluster31', 'cube15_cluster85', 'cube16_cluster84']",['Viajero Frecuente'],Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Atención, Número, Clientes, Cliente, Centro"
USR-00082,"['cube173_cluster0', 'cube174_cluster2', 'cube190_cluster0', 'cube191_cluster1']",['cube32_cluster54'],"['Inversor en Educación', 'Cliente de Nómina (Alta Fidelidad)', 'Perfil de Alerta (Comportamiento Inusual)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Puedo, Física, Si, Cómo, Solicitar"
USR-00083,"['cube174_cluster2', 'cube191_cluster1']","['cube10_cluster7', 'cube18_cluster42']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Puedo, Bancos, Banregio, Independiente, Transferencia"
USR-00084,"['cube76_cluster0', 'cube96_cluster0']",['cube25_cluster100'],"['Estudiante o Profesional en Formación', 'Viajero Frecuente']",Especialista: Viajero Frecuente + promedio_salud,"Oxxo, Depositar, Puedo, Hacer, Pueden"
USR-00085,"['cube104_cluster1', 'cube105_cluster0', 'cube119_cluster1', 'cube120_cluster0']","['cube10_cluster2', 'cube11_cluster0', 'cube18_cluster10', 'cube19_cluster0']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00086,"['cube207_cluster1', 'cube208_cluster1', 'cube223_cluster1', 'cube224_cluster2']","['cube33_cluster12', 'cube34_cluster1']",['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + promedio_salud,"Si, Puedo, Quiero, Aparece, Cómo"
USR-00087,"['cube65_cluster1', 'cube66_cluster1']",['cube26_cluster7'],['Usuario Estándar'],Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,Desconocido/Ninguno
USR-00088,['cube194_cluster0'],['cube32_cluster33'],['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Perfil Internacional / Global User,Desconocido/Ninguno
USR-00089,"['cube89_cluster2', 'cube108_cluster1']","['cube18_cluster51', 'cube27_cluster76']","['Usuario de Movilidad Urbana (Apps/Transporte)', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,Desconocido/Ninguno
USR-00090,['cube14_cluster2'],"['cube8_cluster36', 'cube9_cluster18']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Dinero, Pago, Puedo, Compra, Si"
USR-00091,"['cube204_cluster2', 'cube205_cluster0']","['cube33_cluster96', 'cube40_cluster10']","['Cliente de Nómina (Alta Fidelidad)', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-00092,"['cube265_cluster0', 'cube278_cluster0']","['cube24_cluster33', 'cube32_cluster27']","['Usuario de Movilidad Urbana (Apps/Transporte)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Usuario de Movilidad Urbana (Apps/Transporte) + Usuario Tradicional (Uso de Efectivo),Desconocido/Ninguno
USR-00093,"['cube67_cluster0', 'cube86_cluster0']",['cube32_cluster11'],['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),Desconocido/Ninguno
USR-00094,['cube189_cluster2'],"['cube25_cluster3', 'cube26_cluster139']",['Perfil de Ocio y Entretenimiento'],Especialista: Perfil de Ocio y Entretenimiento + frecuencia_servicios_digitales,"Puedo, Física, Si, Cómo, Solicitar"
USR-00095,['cube138_cluster1'],['cube3_cluster24'],['Usuario Estándar'],Especialista: promedio_salud + Cliente de Nómina (Alta Fidelidad),"Puedo, Física, Si, Cómo, Solicitar"
USR-00096,"['cube103_cluster1', 'cube104_cluster0', 'cube118_cluster0', 'cube119_cluster0']","['cube16_cluster69', 'cube17_cluster65']","['Usuario Estándar', 'Usuario en Riesgo de Abandono (Inactivo)', 'Usuario Tradicional (Uso de Efectivo)']",Tendencia: preferencia_canal_app_android + Viajero de Alto Valor (Premium),Desconocido/Ninguno
USR-00097,"['cube54_cluster1', 'cube55_cluster1']","['cube15_cluster78', 'cube24_cluster6']",['Viajero Frecuente'],Especialista: Viajero Frecuente + promedio_salud,"Número, Teléfono, Numero, Puedo, Llamar"
USR-00098,"['cube103_cluster1', 'cube104_cluster0', 'cube118_cluster1', 'cube119_cluster0']","['cube24_cluster28', 'cube25_cluster76']","['Usuario Estándar', 'Usuario en Riesgo de Abandono (Inactivo)', 'Receptor de Remesas Internacionales']",Tendencia: preferencia_canal_app_android + Viajero de Alto Valor (Premium),"Dinero, Pago, Puedo, Compra, Si"
USR-00099,['cube205_cluster0'],"['cube5_cluster3', 'cube6_cluster33']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Meses, 000, Enganche, 60, 36"
USR-00100,"['cube5_cluster0', 'cube6_cluster0']","['cube10_cluster0', 'cube18_cluster18']",['Usuario de Movilidad Urbana (Apps/Transporte)'],Especialista: Usuario de Movilidad Urbana (Apps/Transporte) + Cliente de Nómina (Alta Fidelidad),"Oxxo, Depositar, Puedo, Hacer, Pueden"
USR-00101,"['cube182_cluster0', 'cube195_cluster0']",['cube17_cluster42'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_retiro_cajero,"Auto, Crédito, Quiero, Automotriz, Credito"
